レースID,年月日,レースNo,レース名,クラス,種別,距離,天候,状態,発走,競馬場,条件,
201509020411,2015年4月5日,11,第59回産経大阪杯,G2,芝右,2000,曇,不良,15:35,2回阪神4日目,4歳以上オープン(国際)(指)(別定),
201509020511,2015年4月11日,11,第58回サンスポ杯阪神牝馬S,G2,芝右,1400,晴,稍重,15:35,2回阪神5日目,4歳以上オープン(国際),
201509020611,2015年4月12日,11,第75回桜花賞,G1,芝右 外,1600,晴,良,15:40,2回阪神6日目,3歳オープン(国際),
201509020711,2015年4月18日,11,第20回アンタレスステークス,G3,ダ右,1800,晴,良,15:30,2回阪神7日目,4歳以上オープン(国際)(指)(別定),
201509030111,2015年6月6日,11,第68回鳴尾記念,G3,芝右,2000,晴,良,15:35,3回阪神1日目,3歳以上オープン(国際)(特指)(別定),
201509030411,2015年6月14日,11,第20回マーメイドステークス,G3,芝右,2000,晴,良,15:35,3回阪神4日目,3歳以上オープン(国際),
201509030811,2015年6月28日,11,第56回宝塚記念,G1,芝右,2200,晴,良,15:40,3回阪神8日目,3歳以上オープン(国際)(指)(定量),
201509040211,2015年9月13日,11,第29回セントウルステークス,G2,芝右,1200,晴,良,15:35,4回阪神2日目,3歳以上オープン(国際)(指)(別定),
201509040308,2015年9月19日,8,第17回阪神ジャンプS,J.G3,障芝,3140,晴,良,13:50,4回阪神3日目,障害3歳以上オープン(混)(別定),
201509040411,2015年9月20日,11,第33回関西TVローズS,G2,芝右 外,1800,晴,良,15:35,4回阪神4日目,3歳オープン(国際),
201509040711,2015年9月27日,11,第63回神戸新聞杯,G2,芝右 外,2400,晴,良,15:35,4回阪神7日目,3歳オープン(国際),
201509040811,2015年10月3日,11,第19回シリウスステークス,G3,ダ右,2000,晴,稍重,15:35,4回阪神8日目,3歳以上オープン(国際)(指)(ハンデ),
201509050311,2015年12月12日,11,第66回チャレンジカップ,G3,芝右 外,1800,曇,良,15:45,5回阪神3日目,3歳以上オープン(国際)(特指)(ハンデ),
201509050411,2015年12月13日,11,第67回阪神ジュベナイルF,G1,芝右 外,1600,晴,良,15:40,5回阪神4日目,2歳オープン(国際),
